version,variant,size,regime,protocol,config,seed,f1,precision,recall,balanced_accuracy,auroc,auprc,runtime_seconds,positive_rate,positive_count,test_count,actual_backend,source_path
V26,hi-medium,medium,hi,early_to_late_transfer,graphsage_edge_minibatch_h32,5,0.023495914151478035,0.01194097104877774,0.7267972008199618,0.8188796018411201,0.9117341715783278,0.023236059152687498,192.27,0.0014783469767193007,14147,9569472,cuda:0,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_5_6_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__graphsage_edge_minibatch_h32__seed5.json
V26,hi-medium,medium,hi,early_to_late_transfer,graphsage_edge_minibatch_h32,6,0.025324213162406732,0.012916618122195668,0.6426097405810419,0.7849517896784015,0.8804217751752125,0.023682964182324,192.367,0.0014783469767193007,14147,9569472,cuda:0,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_5_6_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__graphsage_edge_minibatch_h32__seed6.json
V26,hi-medium,medium,hi,early_to_late_transfer,hist_gradient_boosting_edge_features,5,0.1271764537518485,0.1955692488262911,0.09422492401215805,0.5468255539207967,0.8919465633675858,0.08399625952194933,39.79,0.0014783469767193007,14147,9569472,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_5_6_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__hist_gradient_boosting_edge_features__seed5.json
V26,hi-medium,medium,hi,early_to_late_transfer,hist_gradient_boosting_edge_features,6,0.1251726601571803,0.19188084112149534,0.09288188308475295,0.5461513647880536,0.8864245953420617,0.07522693860478553,38.039,0.0014783469767193007,14147,9569472,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_5_6_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__hist_gradient_boosting_edge_features__seed6.json
V26,hi-medium,medium,hi,early_to_late_transfer,logistic_regression_edge_features,5,0.017959441021018357,0.009070012736825346,0.9020286986640277,0.8780611530775693,0.9126714767010471,0.013930367090398578,47.324,0.0014783469767193007,14147,9569472,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_5_6_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__logistic_regression_edge_features__seed5.json
V26,hi-medium,medium,hi,early_to_late_transfer,logistic_regression_edge_features,6,0.017959441021018357,0.009070012736825346,0.9020286986640277,0.8780611530775693,0.9126714767010471,0.013930367090398578,47.228,0.0014783469767193007,14147,9569472,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_5_6_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__early_to_late_transfer__logistic_regression_edge_features__seed6.json
V26,hi-medium,medium,hi,late_window_holdout,graphsage_edge_minibatch_h32,5,0.00857716876159077,0.004307628880433775,0.9700244314978388,0.7976891860642246,0.9173872323136685,0.0587968572608785,228.884,0.0016681171124174876,10642,6379648,cuda:0,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_5_6_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__graphsage_edge_minibatch_h32__seed5.json
V26,hi-medium,medium,hi,late_window_holdout,graphsage_edge_minibatch_h32,6,0.008392464229618226,0.004215136645865445,0.9356323999248262,0.7831528474706742,0.8997402157716956,0.02708330405454254,224.198,0.0016681171124174876,10642,6379648,cuda:0,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_5_6_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__graphsage_edge_minibatch_h32__seed6.json
V26,hi-medium,medium,hi,late_window_holdout,hist_gradient_boosting_edge_features,5,0.0,0.0,0.0,0.4999967027821924,0.9427695905704472,0.16696048274376826,126.826,0.0016681171124174876,10642,6379648,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_5_6_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__hist_gradient_boosting_edge_features__seed5.json
V26,hi-medium,medium,hi,late_window_holdout,hist_gradient_boosting_edge_features,6,0.031924709355969735,0.8826530612244898,0.01625634279270814,0.5081263657770785,0.912888831317711,0.1551681327689779,51.003,0.0016681171124174876,10642,6379648,sklearn_cpu,results/v26_imported/ibm_aml/hi-medium/V26_IBM_AML_HI_MEDIUM_SEEDS_5_6_T4_SINGLEGPU_SINGLEZIP/json/ibm_aml_hi_medium__late_window_holdout__hist_gradient_boosting_edge_features__seed6.json
