dataset,method,budget_pct,n,n_context_rows,precision_mean,precision_std,recall_mean,recall_std,source,precision_ci95_low,precision_ci95_high,recall_ci95_low,recall_ci95_high,method_label
dgraphfin,simple_average,1.0,10,60,0.0156390683108239,0.0077702146837232,0.0142959384505277,0.0071028854569944,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.010823039354250065,0.020455097267397734,0.0098935244338636,0.0186983524671918,Simple average
dgraphfin,simple_average,2.0,10,60,0.0155115026921193,0.0075808427586629,0.0283503310073357,0.0138554855572986,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.010812847670729393,0.020210157713509206,0.019762612087404027,0.036938049927267375,Simple average
elliptic,best_val_branch,0.5,10,60,0.8291666666666668,0.0451623216693281,0.0643120960295474,0.0035028947555157,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.801174769691001,0.8571585636423327,0.062140979366614904,0.0664832126924799,Best val branch
elliptic,best_val_branch,1.0,10,60,0.7785429141716567,0.0482252721989902,0.1200523237919359,0.0074363993141564,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.7486525807892971,0.8084332475540162,0.11544319574497924,0.12466145183889255,Best val branch
elliptic,best_val_branch,2.0,10,60,0.692065868263473,0.0471429698372367,0.2134349030470913,0.0145390137817516,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.6628463528348171,0.721285383692129,0.20442352894444032,0.2224462771497423,Best val branch
elliptic,feature_only,0.5,10,60,0.6746031746031746,0.0525783251702428,0.0523237919359802,0.0040780972431213,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.6420147910365689,0.7071915581697804,0.04979616107762851,0.05485142279433188,Feature only
elliptic,feature_only,1.0,10,60,0.6481037924151696,0.0635251295935092,0.0999384425977223,0.0097956571026002,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.60873050917329,0.6874770756570492,0.09386703142376673,0.10600985377167788,Feature only
elliptic,feature_only,2.0,10,60,0.5822355289421158,0.0623807050175768,0.1795629424438288,0.0192383707071751,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.543571567401199,0.6208994904830326,0.16763887674238265,0.19148700814527497,Feature only
elliptic,graphsafe_conservative,0.5,10,60,0.8154761904761905,0.041228696760605,0.0632502308402584,0.0031977936545621,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.7899223794783026,0.8410300014740784,0.06126821779887101,0.06523224388164578,GraphSafe conservative
elliptic,graphsafe_conservative,1.0,10,60,0.7623752495009979,0.0431711554335829,0.1175592489996922,0.0066570479754463,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.7356174901443078,0.789133008857688,0.11343316791698929,0.1216853300823951,GraphSafe conservative
elliptic,graphsafe_conservative,2.0,10,60,0.6765469061876248,0.0429153321107547,0.2086488150200061,0.0132351993767239,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.6499477077691658,0.7031461046060838,0.20044555345789597,0.21685207658211622,GraphSafe conservative
elliptic,simple_average,0.5,10,60,0.8601190476190477,0.0638921066811568,0.0667128347183748,0.0049556204628044,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.82051830962174,0.8997197856163553,0.06364130933354208,0.06978436010320753,Simple average
elliptic,simple_average,1.0,10,60,0.8276447105788423,0.0555905045827246,0.1276238842720836,0.0085721276688042,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.7931893588699924,0.8621000622876921,0.12231082449795813,0.13293694404620907,Simple average
elliptic,simple_average,2.0,10,60,0.7680139720558883,0.0447901663985145,0.2368574946137273,0.013813403118286,results/runs_rb17_review_budget_worst_block/rb17_results.csv,0.7402527393068279,0.7957752048049487,0.22829585865972352,0.24541913056773107,Simple average
