binding_id,scenario_id,base_coordinate_id,protocol,expert,seed,role,permitted_splits,evaluation_split,label_access,resource_mask,review_budget,status
binding-4c6a49306c67be9819ca7348,scenario-350758023f31831bb84d7d1e,6fdef3ca0e6ecdde3f57f3e2b3cbf9ec975a0f1629a128d159d14560d417d0a0,transductive_structure,feature_mlp,3,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-23bae4d07c64f70e5df12bcc,scenario-350758023f31831bb84d7d1e,ff7e5e2c5900f5c260c209787181ee70c9878a5557d7e6cf2ac9587769c2ef05,transductive_structure,gcn,3,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-03250d6e1cec9bcdd548c965,scenario-350758023f31831bb84d7d1e,e9829f9239cbb8d827d55c3701493c2815562a70357e3cd208bebea664cac7fb,transductive_structure,graphsage,3,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-89c5d4761cc8eb466ceb20d7,scenario-c949682b1a540d55687d540f,8d7d67f9dd8cb9556ce3bfeabc9e654a342055d11d6558b195253916185bed0a,strict_inductive,feature_mlp,4,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-6b108f1cd4bdd6a4ea275a1a,scenario-c949682b1a540d55687d540f,66cd63ce5ed06c7afec540df7e29bf73d7c53f0b5db9fe906c058c9e57402d1f,strict_inductive,gcn,4,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-1561376b35cf8b9bab84df37,scenario-c949682b1a540d55687d540f,55b209474dcceb89dc835323abbfc1ab201b5f5e159f3d1475be030fc95e7b3d,strict_inductive,graphsage,4,target,test,test,EVALUATION_ONLY_AFTER_FREEZE,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-a23ddce5c2589426708e8ffb,scenario-c949682b1a540d55687d540f,64792b5062ada49f3b8b8e728db96160a75d43fb3b7b4935055e7df68b95f4dd,isolated_inductive,feature_mlp,4,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-692e2ecfaf582c605812d5c5,scenario-c949682b1a540d55687d540f,92bbf278a2912b0f8bb26525d0153e99ad1298e4227b4be8770825557158e124,isolated_inductive,gcn,4,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-1d772dcf05ac51d7c0adc3b2,scenario-c949682b1a540d55687d540f,530a58845e8bb3bea44f136ace941f014a43a81dcb879a88505fba898b002c45,isolated_inductive,graphsage,4,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-3191746cc7a006fa7e464d43,scenario-c949682b1a540d55687d540f,fac4857fc2700d65b4c8efef79306353a086e1092304cc9c48e0f8119bfac1ac,transductive_structure,feature_mlp,4,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
binding-ab41282ec6c89ca38d6e0b99,scenario-c949682b1a540d55687d540f,c482efeae8a013e5b9f8d34c3ec83cad6f0e3593cfe736070d9dd63ff518b44f,transductive_structure,gcn,4,source,train;validation,validation,SOURCE_LABELS_ALLOWED,all_experts_available,UNKNOWN_UNTIL_OPERATIONAL_SPEC,MATERIALISABLE_FROM_VERIFIED_LOCAL_CACHE
